rank,score,passed,passed_relaxed,train_passed,test_passed,return_pct,max_drawdown_pct,win_rate_pct,trades,sharpe_ratio,train_return_pct,train_drawdown_pct,train_win_rate_pct,train_trades,signals,combination
1,65.47844133566235,False,True,False,True,55.907645859928444,0.0,55.769230769230774,52,3.063295917480543,59.58483356913676,0.0,62.5,8,"rsi_osob,rsi_trend_combo",majority_vote
2,100.37272054582085,False,False,False,False,50.48524487260063,0.0,66.66666666666666,3,17.021124443359955,59.41015126304319,0.0,100.0,3,"rsi_osob,rsi_trend_combo",and_signals
3,93.03221047094483,False,False,False,False,50.48524487260063,0.0,66.66666666666666,3,17.021124443359955,58.43083709528614,0.0,100.0,3,"rsi_osob,rsi_trend_combo",unanimous
4,92.74936414102953,False,False,False,False,50.442682309413186,0.0,66.66666666666666,3,17.02557716023889,58.54729316081407,0.0,100.0,3,"rsi_osob,rsi_trend_combo",and_signals
5,92.4848973043973,False,False,False,False,46.904707576086444,0.0,66.66666666666666,3,15.747471219560422,124.5878485704261,0.0,100.0,3,"rsi_osob,rsi_trend_combo",unanimous
6,90.26905971128632,False,False,False,False,50.96271348512636,0.0,100.0,3,18.218299548415718,105.33484554081174,0.0,100.0,3,"rsi_osob,rsi_trend_combo",unanimous
7,80.53969584140674,False,False,False,False,48.3263432869869,0.0,66.66666666666666,3,16.02475921532315,56.32934796296898,0.0,100.0,3,"rsi_osob,rsi_trend_combo",unanimous
8,79.49089063029388,False,False,False,False,42.55046873688556,0.0,66.66666666666666,3,13.262925076473627,98.07574889602012,0.0,100.0,3,"rsi_osob,rsi_trend_combo",and_signals
9,73.33332627638507,False,False,False,False,45.09589627194486,0.0,66.66666666666666,3,15.6961492673359,81.54730981390574,0.0,100.0,3,"rsi_osob,rsi_trend_combo",and_signals
10,53.08080103688425,False,False,False,False,26.19425267971306,0.0,33.33333333333333,6,4.8875445901645,72.3873776556494,0.0,100.0,7,"rsi_osob,rsi_trend_combo",majority_vote
