rank,score,passed,passed_relaxed,train_passed,test_passed,return_pct,max_drawdown_pct,win_rate_pct,trades,sharpe_ratio,train_return_pct,train_drawdown_pct,train_win_rate_pct,train_trades,replay_passed,replay_score,replay_return_pct,replay_drawdown_pct,replay_win_rate_pct,replay_trades,signals,combination
1,9.459695913877198,False,False,False,False,13.651217026872086,0.0,76.92307692307693,13,8.237367131738573,-9.939488991795045,11.58948899179508,50.0,40,True,23.322774841640147,15.794503032229487,0.0,58.490566037735846,53,"rsi_trend_combo,bb_reversion",and_signals
2,12.788209917154765,False,False,False,False,10.45272596859582,0.0,100.0,4,29.382118143057458,-5.580929168676371,5.787179168676357,20.0,5,False,11.480682789547428,4.871796799919447,0.0,55.55555555555556,9,"rsi_osob,rsi_trend_combo,bb_reversion",and_signals
3,13.238226021788773,False,False,False,False,0.5118886448798898,0.601861355120127,40.74074074074074,27,0.3472458774759764,21.491622477017366,0.0,30.434782608695656,46,False,7.426087227266023,2.7748016215387494,0.27769837846124573,33.78378378378378,74,"ema_cross,sma_cross,rsi_trend_combo,stoch_reversal",majority_vote
4,2.301546895200642,False,False,False,False,0.0,0.0,0.0,0,0.0,0.12006114272474569,0.0,50.0,2,False,5.753867238001605,0.12006114272474569,0.0,50.0,2,"rsi_trend_combo,bb_reversion",and_signals
5,3.352149167199525,False,False,False,False,-0.43409012282105763,0.5165901228210714,50.0,2,-2.494437427049195,-0.6531063238168022,0.9418563238167917,42.857142857142854,7,False,2.252397353099067,-1.08719644663786,1.4584464466378633,44.44444444444444,9,"rsi_osob,bb_reversion,rsi_divergence",and_signals
6,0.8444846950101244,False,False,False,False,-1.6080163088121096,1.6905163088121116,50.0,2,-15.769260824171713,-0.6174040457423666,0.9061540457423871,57.14285714285714,7,False,1.1525098144603025,-2.2254203545544757,2.5966703545544987,55.55555555555556,9,"rsi_osob,rsi_trend_combo,bb_reversion,rsi_divergence",and_signals
7,2.7877041900674957,False,False,False,False,-0.32273633876714314,0.5702363387671358,50.0,6,-1.3078693246030275,-0.8609323511429209,1.3146823511429284,27.27272727272727,11,False,1.0878742643182209,-1.1836686899100641,1.884918689910064,35.294117647058826,17,"ema_cross,sma_cross",majority_vote
8,0.0,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0,"rsi_osob,ema_cross,sma_cross,rsi_trend_combo",and_signals
9,0.0,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0,"ema_cross,sma_cross,rsi_trend_combo,macd_cross",and_signals
10,0.0,False,False,False,False,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0,"rsi_osob,sma_cross,macd_cross,stoch_reversal",and_signals
